lon,lat,vv,vh,cell_id
104.94999999999999,10.549999999999969,-8.38832615746603,-15.996750654434903,104.9_10.5
104.94999999999999,10.649999999999968,-8.690243766551653,-15.954103408305258,104.9_10.6
104.94999999999999,10.749999999999968,-9.64394443836074,-17.247088516947688,104.9_10.7
104.94999999999999,10.849999999999968,-11.235385465057503,-19.313009896414208,104.9_10.8
104.94999999999999,10.949999999999967,-12.812443093836672,-22.01340261065459,104.9_10.9
104.94999999999999,11.049999999999967,-11.033418521682036,-18.59577979701503,104.9_11.0
105.04999999999998,8.549999999999976,-19.139767369832636,-32.52297759852776,105.0_8.5
105.04999999999998,8.649999999999975,-10.815391605501619,-18.08211704527512,105.0_8.6
105.04999999999998,8.749999999999975,-9.638872218844734,-16.18583657056499,105.0_8.7
105.04999999999998,8.849999999999975,-10.89159066373406,-17.560622357354887,105.0_8.8
105.04999999999998,8.949999999999974,-10.043194114102544,-17.215446847554574,105.0_8.9
105.04999999999998,9.049999999999974,-10.22533578881214,-17.33357475979499,105.0_9.0
105.04999999999998,9.149999999999974,-9.72137410565601,-16.903527826847426,105.0_9.1
105.04999999999998,9.249999999999973,-9.825920342833742,-17.09838270485727,105.0_9.2
105.04999999999998,9.349999999999973,-11.353835149763485,-18.53365641488829,105.0_9.3
105.04999999999998,9.449999999999973,-11.154555414805504,-17.667271387502023,105.0_9.4
105.04999999999998,9.549999999999972,-10.249776572859542,-16.860042341926157,105.0_9.5
105.04999999999998,9.649999999999972,-9.712635990037723,-16.586839395390427,105.0_9.6
105.04999999999998,9.749999999999972,-10.38416689379257,-17.46884338502999,105.0_9.7
105.04999999999998,9.849999999999971,-11.16933637566563,-18.370483488101907,105.0_9.8
105.04999999999998,9.94999999999997,-16.588593469498825,-26.45308425200044,105.0_9.9
105.04999999999998,10.04999999999997,-12.505718697665584,-21.104193652321303,105.0_10.0
105.04999999999998,10.14999999999997,-8.693523166629207,-15.959789194451341,105.0_10.1
105.04999999999998,10.24999999999997,-8.641805748287384,-16.014796343933124,105.0_10.2
105.04999999999998,10.34999999999997,-8.595741315856833,-16.50672582621183,105.0_10.3
105.04999999999998,10.449999999999969,-8.297197806231589,-16.714652401397093,105.0_10.4
105.04999999999998,10.549999999999969,-8.38371818394748,-16.427154792721076,105.0_10.5
105.04999999999998,10.649999999999968,-8.759303871226642,-16.933772897710764,105.0_10.6
105.04999999999998,10.749999999999968,-10.621400329045377,-18.29319369163635,105.0_10.7
105.04999999999998,10.849999999999968,-10.636341499994451,-19.162291150898977,105.0_10.8
105.04999999999998,10.949999999999967,-10.398570175779286,-18.338573126333245,105.0_10.9
105.04999999999998,11.049999999999967,-10.618463874304192,-18.15923692838456,105.0_11.0
105.14999999999998,8.549999999999976,-18.887747396677753,-33.39474270758211,105.1_8.5
105.14999999999998,8.649999999999975,-17.673522508779335,-28.961473604643253,105.1_8.6
105.14999999999998,8.749999999999975,-11.1353889948584,-18.226301432762572,105.1_8.7
105.14999999999998,8.849999999999975,-9.897943308731538,-16.62751644673987,105.1_8.8
105.14999999999998,8.949999999999974,-10.455015895073743,-17.671819967165433,105.1_8.9
105.14999999999998,9.049999999999974,-10.408920863694668,-17.532605413722273,105.1_9.0
105.14999999999998,9.149999999999974,-8.428371786844174,-15.992506494584253,105.1_9.1
105.14999999999998,9.249999999999973,-10.510466172789448,-18.319112091132236,105.1_9.2
105.14999999999998,9.349999999999973,-11.55503379132188,-19.3455407942377,105.1_9.3
105.14999999999998,9.449999999999973,-12.672422818860655,-19.589276613808693,105.1_9.4
105.14999999999998,9.549999999999972,-9.705699957638247,-16.341840735924535,105.1_9.5
105.14999999999998,9.649999999999972,-9.495680842895242,-16.182700212458332,105.1_9.6
105.14999999999998,9.749999999999972,-10.711994606115885,-17.676184267365382,105.1_9.7
105.14999999999998,9.849999999999971,-8.77262000481805,-15.64843491199377,105.1_9.8
105.14999999999998,9.94999999999997,-7.753519776860523,-15.513723707851058,105.1_9.9
105.14999999999998,10.04999999999997,-8.196200659624967,-16.486713572004724,105.1_10.0
105.14999999999998,10.14999999999997,-8.95361270473143,-16.214213849902805,105.1_10.1
105.14999999999998,10.24999999999997,-8.906308291423674,-17.900689546220935,105.1_10.2
105.14999999999998,10.34999999999997,-8.966874169241718,-18.41391636915259,105.1_10.3
105.14999999999998,10.449999999999969,-8.303731900638638,-17.808219357764987,105.1_10.4
105.14999999999998,10.549999999999969,-9.11629624704627,-17.841093555709346,105.1_10.5
105.14999999999998,10.649999999999968,-8.770271203565564,-16.02235483840289,105.1_10.6
105.14999999999998,10.749999999999968,-8.488072516846785,-16.29869719081268,105.1_10.7
105.14999999999998,10.849999999999968,-9.902251983158015,-17.73356365286916,105.1_10.8
105.14999999999998,10.949999999999967,-11.419246365641891,-19.836523563350514,105.1_10.9
105.14999999999998,11.049999999999967,-11.43394923499953,-19.709157510376006,105.1_11.0
105.24999999999997,8.549999999999976,-18.843516784070026,-33.57000293104969,105.2_8.5
105.24999999999997,8.649999999999975,-18.918481494538426,-33.28189714541748,105.2_8.6
105.24999999999997,8.749999999999975,-16.16026978424716,-27.19635697313198,105.2_8.7
105.24999999999997,8.849999999999975,-9.527833797146537,-16.27719084476447,105.2_8.8
105.24999999999997,8.949999999999974,-10.163107124390107,-17.265057199396235,105.2_8.9
105.24999999999997,9.049999999999974,-9.871335857151427,-17.02509020530342,105.2_9.0
105.24999999999997,9.149999999999974,-9.85970904443846,-17.41681864638165,105.2_9.1
105.24999999999997,9.249999999999973,-10.59944822429057,-18.343731003018338,105.2_9.2
105.24999999999997,9.349999999999973,-11.587848747240393,-19.67383403950704,105.2_9.3
105.24999999999997,9.449999999999973,-12.509277824859732,-20.099799313080084,105.2_9.4
105.24999999999997,9.549999999999972,-12.457234788443754,-19.232742364505064,105.2_9.5
105.24999999999997,9.649999999999972,-10.482779676839186,-17.20401355848196,105.2_9.6
105.24999999999997,9.749999999999972,-9.021279367505748,-15.77751882102608,105.2_9.7
105.24999999999997,9.849999999999971,-7.955604186492584,-16.496723263206125,105.2_9.8
105.24999999999997,9.94999999999997,-8.479690822695334,-17.863540773422617,105.2_9.9
105.24999999999997,10.04999999999997,-8.541409992651598,-17.239719842505835,105.2_10.0
105.24999999999997,10.14999999999997,-8.352468739099699,-16.494605836741833,105.2_10.1
105.24999999999997,10.24999999999997,-9.200868846532416,-18.322597237717257,105.2_10.2
105.24999999999997,10.34999999999997,-9.156604255784666,-18.24910739831482,105.2_10.3
105.24999999999997,10.449999999999969,-9.325793857698345,-18.176014673931768,105.2_10.4
105.24999999999997,10.549999999999969,-9.346664227838248,-17.450088477503115,105.2_10.5
105.24999999999997,10.649999999999968,-9.536406952099503,-17.219311301205103,105.2_10.6
105.24999999999997,10.749999999999968,-8.878801533978894,-17.095187345793054,105.2_10.7
105.24999999999997,10.849999999999968,-11.374925241350393,-20.11934383525377,105.2_10.8
105.24999999999997,10.949999999999967,-12.206498417923193,-20.8031178558885,105.2_10.9
105.24999999999997,11.049999999999967,-11.20605240783911,-18.69655870606772,105.2_11.0
105.34999999999997,8.549999999999976,-18.524926079696574,-33.425260347643565,105.3_8.5
105.34999999999997,8.649999999999975,-18.731636434297922,-33.3110625236715,105.3_8.6
105.34999999999997,8.749999999999975,-18.655594467783615,-33.08252489289417,105.3_8.7
105.34999999999997,8.849999999999975,-16.026042768566438,-26.48731846543672,105.3_8.8
105.34999999999997,8.949999999999974,-11.485063794784951,-18.765163778847548,105.3_8.9
105.34999999999997,9.049999999999974,-10.536919359956025,-17.660881751314058,105.3_9.0
105.34999999999997,9.149999999999974,-10.513233866265125,-18.196553213504686,105.3_9.1
105.34999999999997,9.249999999999973,-10.893575925471813,-18.9434272706262,105.3_9.2
105.34999999999997,9.349999999999973,-11.074543369675805,-19.05493325825836,105.3_9.3
105.34999999999997,9.449999999999973,-11.729191757262518,-19.179533582824853,105.3_9.4
105.34999999999997,9.549999999999972,-12.915802569899562,-19.810966988540077,105.3_9.5
105.34999999999997,9.649999999999972,-9.04989013678375,-15.769552828150527,105.3_9.6
105.34999999999997,9.749999999999972,-7.947436953932412,-14.991229733520138,105.3_9.7
105.34999999999997,9.849999999999971,-8.379325834778882,-17.49304316212172,105.3_9.8
105.34999999999997,9.94999999999997,-8.529322783219712,-16.852506013161943,105.3_9.9
105.34999999999997,10.04999999999997,-8.862054527941972,-16.3621210531944,105.3_10.0
105.34999999999997,10.14999999999997,-9.163329410776695,-17.425497309283482,105.3_10.1
105.34999999999997,10.24999999999997,-9.385282418051581,-18.334623668638976,105.3_10.2
105.34999999999997,10.34999999999997,-8.979835920881632,-17.285016706746134,105.3_10.3
105.34999999999997,10.449999999999969,-8.936432322550642,-17.00448369584344,105.3_10.4
105.34999999999997,10.549999999999969,-8.955483378118778,-16.355701272040452,105.3_10.5
105.34999999999997,10.649999999999968,-9.760245595946499,-16.70087924660834,105.3_10.6
105.34999999999997,10.749999999999968,-10.10205420748098,-18.47806040186016,105.3_10.7
105.34999999999997,10.849999999999968,-10.990451944529386,-19.225270447236515,105.3_10.8
